iter	Accuracy	Logloss
0	0.8053892216	0.6535412046
1	0.8188622754	0.618541566
2	0.8083832335	0.5967235982
3	0.8308383234	0.569033521
4	0.8338323353	0.5457411449
5	0.8368263473	0.5256139771
6	0.8338323353	0.5091892022
7	0.8413173653	0.49330877
8	0.8383233533	0.4826732187
9	0.8458083832	0.4707889636
10	0.8458083832	0.460215247
11	0.8473053892	0.4517819261
12	0.8458083832	0.4455912532
13	0.8473053892	0.4377649421
14	0.8517964072	0.4302453404
15	0.8502994012	0.424191635
16	0.8488023952	0.4218007008
17	0.8502994012	0.4154584017
18	0.8488023952	0.4101260746
19	0.8488023952	0.4071198756
20	0.8488023952	0.402999569
21	0.8473053892	0.4006848347
22	0.8473053892	0.396830482
23	0.8517964072	0.3935404802
24	0.8532934132	0.3895116889
25	0.8532934132	0.386346821
26	0.8532934132	0.3846505763
27	0.8517964072	0.3816649288
28	0.8502994012	0.3794844651
29	0.8517964072	0.3774112416
30	0.8562874251	0.37450159
31	0.8577844311	0.3727580433
32	0.8622754491	0.3705263206
33	0.8607784431	0.3698757902
34	0.8622754491	0.3656306151
35	0.8622754491	0.364867861
36	0.8622754491	0.3647299671
37	0.8622754491	0.3642271349
38	0.8622754491	0.36106255
39	0.8622754491	0.3599210476
40	0.8637724551	0.3575648063
41	0.8652694611	0.3551898054
42	0.8652694611	0.3518443079
43	0.8637724551	0.3491007017
44	0.8667664671	0.3473685271
45	0.8667664671	0.3454896136
46	0.8682634731	0.3440484122
47	0.869760479	0.3421487704
48	0.874251497	0.3391371031
49	0.874251497	0.3365367815
