iter	Passed	Remaining
0	13	671
1	29	715
2	39	612
3	79	912
4	106	958
5	125	918
6	140	863
7	153	804
8	165	753
9	205	823
10	245	869
11	261	829
12	273	777
13	318	817
14	361	842
15	404	860
16	419	813
17	462	822
18	491	802
19	528	792
20	554	765
21	569	724
22	609	716
23	653	708
24	698	698
25	740	683
26	766	652
27	806	633
28	846	612
29	887	591
30	925	567
31	947	532
32	987	508
33	997	469
34	1038	444
35	1057	411
36	1064	374
37	1081	341
38	1119	315
39	1141	285
40	1183	259
41	1225	233
42	1268	206
43	1314	179
44	1344	149
45	1389	120
46	1434	91
47	1481	61
48	1520	31
49	1563	0
